geometry,address,lokasi,coords,m_lon,m_lat,state,district,parlimen,dun_x,label,Lokasi,dun_y,h_lat,h_lon,distance,status
POINT (100.31539 5.406510000000026),Masjid Jamek Hashim Yahaya,Kampung Masjid Hashim Yahya,"100.31539, 5.406510000000026",100.31539,5.40651,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,0.908,FALSE
POINT (100.3140734163665 5.409581694947581),"Jalan P. Ramlee, Taman Seri Kijang, George Town, Timur Laut, 10460, Pulau Pinang",Jalan P Ramlee,"100.3140734163665, 5.409581694947581",100.3140734,5.409581695,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat,hotspot,"SJK (T) JALAN SUNGAI, FLAT SUNGAI PINANGJLN SUNGAI",N.30 Sungai Pinang,5.404585395,100.3233647,1.169,FALSE
POINT (100.2782653530099 5.38920680407536),"Jalan Tun Mohamed Salleh Ismael, Bandar Baru Air Itam (Farlim), Air Hitam, Timur Laut, 11500, Pulau Pinang",Jalan Ismail Che Mat,"100.2782653530099, 5.38920680407536",100.2782654,5.389206804,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,1.316,TRUE
POINT (100.3079300794322 5.363485042640697),"Changkat Minden Lorong 3, Minden Heights, Gelugor, Timur Laut, 11700, Pulau Pinang",Changkat Minden (Lorong 3 & 6),"100.3079300794322, 5.363485042640697",100.3079301,5.363485043,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SRK. MINDEN HEIGHTS, TMN. BROWN, TUN SARDON,KAMPONG INDIA.",N.35 Batu Uban,5.36616,100.31033,0.399,TRUE
POINT (100.3038650659397 5.387930025061557),"Jalan Masjid Negeri, Island Glades, Gelugor, Timur Laut, 11700, Pulau Pinang",Persimpangan Jalan Masjid Negeri/ Jalan Air Itam,"100.3038650659397, 5.387930025061557",100.3038651,5.387930025,Pulau Pinang,Timur Laut,P.050 Jelutong,N.32 Seri Delima,hotspot,"S.M.K AIR ITAM, JLN AYER ITAMKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.3978451,100.2932301,1.613,FALSE
POINT (100.2959623218634 5.399497081823761),"Lebuhraya Thean Tek, Island Park, George Town, Timur Laut, 11600, Pulau Pinang",Lebuhraya Thein Teik,"100.2959623218634, 5.399497081823761",100.2959623,5.399497082,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.33 Air Itam,hotspot,"S.M.K AIR ITAM, JLN AYER ITAMKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.3978451,100.2932301,0.354,TRUE
POINT (100.2833240459522 5.40667767327877),"Jalan Khoo HYE Keat, Air Hitam, Timur Laut, 11500, Pulau Pinang",Jalan Hye Keat,"100.2833240459522, 5.40667767327877",100.283324,5.406677673,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.23 Air Putih,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,0.938,FALSE
POINT (100.3354676626428 5.419192424381444),"Jalan Masjid, George Town, Timur Laut, 10200, Pulau Pinang",Kg. Masjid Jalan Zoo,"100.3354676626428, 5.419192424381444",100.3354677,5.419192424,Pulau Pinang,Timur Laut,P.049 Tanjong,N.26 Padang Kota,hotspot,"SEKOLAH MENENGAH KEBANGSAAN RAJA TUN UDA, JALAN TENGAH, SG TIRAM, BUKIT GEDUNG",N.26 Padang Kota,5.424053946,100.3272178,1.061,TRUE
POINT (100.2751751105651 5.384575042587045),"Jalan Paya Terubong, Paya Terubong, Timur Laut, 11060, Pulau Pinang",Jalan Paya Terubong,"100.2751751105651, 5.384575042587045",100.2751751,5.384575043,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,1.933,TRUE
POINT (100.2751751105651 5.384575042587045),"Jalan Paya Terubong, Paya Terubong, Timur Laut, 11060, Pulau Pinang",Persiaran Paya Terubong,"100.2751751105651, 5.384575042587045",100.2751751,5.384575043,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,1.933,TRUE
POINT (100.2959623218634 5.399497081823761),"Lebuhraya Thean Tek, Island Park, George Town, Timur Laut, 11600, Pulau Pinang",Lebuhraya Thean Teik,"100.2959623218634, 5.399497081823761",100.2959623,5.399497082,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.33 Air Itam,hotspot,"S.M.K AIR ITAM, JLN AYER ITAMKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.3978451,100.2932301,0.354,TRUE
POINT (100.3020091601602 5.346307540965564),"Jalan Mutiara, Kampung Dua Bukit, Bayan Lepas, Timur Laut, 11900, Pulau Pinang",Kampung Mutiara,"100.3020091601602, 5.346307540965564",100.3020092,5.346307541,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SEKOLAH KEBANGSAAN SUNGAI NIBONG, SUNGAI NIBONG BESAR, SUNGAI NIBONG PANTAI",N.36 Pantai Jerejak,5.332312536,100.2953982,1.72,TRUE
POINT (100.2848964240001 5.406148588000065),"Timur Laut, Pulau Pinang",Kampung Kubur,"100.2848964240001, 5.406148588000065",100.2848964,5.406148588,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.23 Air Putih,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,0.849,FALSE
POINT (102.24161 2.20366000000007),Kampung Chetti,Kampung Chetti,"102.24161, 2.20366000000007",102.24161,2.20366,Melaka,Melaka Tengah,P.138 Kota Melaka,N.20 Kota Laksamana,hotspot,"DEWAN JKKK SG KECHIL, 1. KG SUNGAI KECHIL DANKAWASAN SEKITARNYA.",N.20 Pengkalan Berangan,5.03732,103.29449,336.05,FALSE
POINT (100.248 5.467640000000074),Flat Pinang Emas,Flat Pinang Emas,"100.248, 5.467640000000074",100.248,5.46764,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.22 Tanjong Bunga,hotspot,"S.K. BATU FERINGGHI, BATU FERINGGHI",N.40 Telok Bahang,5.464982579,100.2359175,1.37,FALSE
POINT (100.2923619692689 5.354324353418288),"Halaman Bukit Gambir, Universiti Sains Malaysia, Gelugor, Timur Laut, 11800, Pulau Pinang",Halaman Bukit Gambir,"100.2923619692689, 5.354324353418288",100.292362,5.354324353,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"SMK BUKIT GAMBIR, BUKIT GAMBIR GELUGOR",N.34 Paya Terubong,5.370830428,100.2967197,1.898,TRUE
