area_type,dun,max_elevation,watercover,state,parlimen,population_total,sex_male,sex_female,housing_total,household_total
sla,N.13 Meranti,58.0,0.1143840760085391,Kelantan,P.022 Pasir Mas,34234,17509,16725,7655,6976
sla,N.14 Chetok,242.0,0.4851909046355289,Kelantan,P.023 Rantau Panjang,32989,16436,16553,7834,6334
sla,N.15 Gual Periok,281.0,0.191467005128952,Kelantan,P.023 Rantau Panjang,41770,21260,20510,9901,7813
sla,N.16 Apam Putra,74.0,0.1272759888779262,Kelantan,P.023 Rantau Panjang,42189,21683,20506,11811,8240
sla,N.17 Salor,36.0,0.816496097586189,Kelantan,P.024 Kubang Kerian,43530,22172,21358,9978,8597
sla,N.18 Pasir Tumboh,35.0,0.015475561109242,Kelantan,P.024 Kubang Kerian,59842,30083,29759,13918,12116
sla,N.19 Demit,32.0,0.1379638009049773,Kelantan,P.024 Kubang Kerian,53255,25795,27460,13312,11804
sla,N.20 Tawang,118.0,0.2542339048579593,Kelantan,P.025 Bachok,55758,27424,28334,12862,11151
sla,N.21 Pantai Irama,29.0,0.102917941458514,Kelantan,P.025 Bachok,55583,26926,28657,13347,11144
sla,N.22 Jelawat,205.0,0.0654400452133504,Kelantan,P.025 Bachok,45950,21862,24088,10849,9063
sla,N.23 Melor,78.0,0.0372240326800385,Kelantan,P.026 Ketereh,33538,16635,16903,8764,7232
sla,N.24 Kadok,41.0,0.2284286344259885,Kelantan,P.026 Ketereh,25339,12877,12462,5959,5044
sla,N.25 Kok Lanas,91.0,0.122821041412484,Kelantan,P.026 Ketereh,49571,27075,22496,13020,9632
sla,N.26 Bukit Panau,110.0,0.1945759182127981,Kelantan,P.027 Tanah Merah,68462,34999,33463,15882,13869
sla,N.27 Gual Ipoh,792.0,0.055511845441035,Kelantan,P.027 Tanah Merah,30331,15800,14531,7057,6155
sla,N.28 Kemahang,246.0,0.008744804655029,Kelantan,P.027 Tanah Merah,27677,14329,13348,6239,5292
sla,N.29 Selising,505.0,0.0223586462318871,Kelantan,P.028 Pasir Puteh,35575,17450,18125,9103,7028
sla,N.30 Limbongan,522.0,0.0262651288146374,Kelantan,P.028 Pasir Puteh,43164,21347,21817,10671,8362
sla,N.31 Semerak,87.0,0.4365115498897728,Kelantan,P.028 Pasir Puteh,33188,16693,16495,7895,6354
sla,N.32 Gaal,580.0,0.0067311539457271,Kelantan,P.028 Pasir Puteh,23896,11787,12109,5663,4636
sla,N.33 Pulai Chondong,579.0,0.147836662449846,Kelantan,P.029 Machang,33394,16761,16633,8342,6592
sla,N.34 Temangan,422.0,0.3061891608936805,Kelantan,P.029 Machang,29773,15640,14133,6528,5774
sla,N.35 Kemuning,687.0,0.0001836850902812,Kelantan,P.029 Machang,47378,22541,24837,11202,9703
sla,N.36 Bukit Bunga,880.0,0.0041841928853987,Kelantan,P.030 Jeli,23828,12120,11708,5401,4718
sla,N.37 Air Lanas,1055.0,0.0011130180631786,Kelantan,P.030 Jeli,37440,18482,18958,7296,7613
sla,N.38 Kuala Balah,1905.0,0.0427384607551944,Kelantan,P.030 Jeli,17684,9124,8560,4272,4107
sla,N.39 Mengkebang,1254.0,0.039022656621641,Kelantan,P.031 Kuala Krai,30952,15566,15386,8562,7291
